"id","name","type","typeCode","bizType","address","gcj02_lng","gcj02_lat","wgs84_lng","wgs84_lat","tel","provinceName","cityName","adName"
"BV10717294","奉浦大道(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","5号线","121.448984","30.942055","121.44441506256743","30.944096931690446","[]","上海市","上海市","奉贤区"
"BV10717296","奉贤新城(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","5号线","121.496290","30.913916","121.49187214118167","30.916099206818938","[]","上海市","上海市","奉贤区"
"BV10717291","望园路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","5号线","121.483580","30.931940","121.47911564606069","30.934074925507716","[]","上海市","上海市","奉贤区"
"BV10717289","金海湖(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","5号线","121.492506","30.928805","121.48807333080148","30.930968075237146","[]","上海市","上海市","奉贤区"
"BV10717297","萧塘(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","5号线","121.441857","30.965888","121.43727016616612","30.967902501757923","[]","上海市","上海市","奉贤区"
"BV10027922","松江大学城(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","9号线","121.232577","31.053984","121.228161771207","31.056094100121694","[]","上海市","上海市","松江区"
"BV10039874","松江新城(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","9号线","121.230739","31.030295","121.22632455962533","31.032417602613812","[]","上海市","上海市","松江区"
"BV10039873","松江体育中心(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","9号线","121.230546","31.016006","121.22613262625333","31.018136823204475","[]","上海市","上海市","松江区"
"BV10027857","洞泾(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","9号线","121.230473","31.084492","121.22605381314445","31.086583306368073","[]","上海市","上海市","松江区"
"BV10037928","醉白池(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","9号线","121.229361","31.001125","121.22494801892624","31.003263711325207","[]","上海市","上海市","松江区"
"BV10032803","泗泾(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","9号线","121.260247","31.118272","121.25582715303996","31.12034928703115","[]","上海市","上海市","松江区"
"BV10035054","佘山(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","9号线","121.229686","31.104097","121.2252645950679","31.106176787621184","[]","上海市","上海市","松江区"
"BV10032786","松江南站(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","9号线","121.230884","30.984818","121.22647347952763","30.986967437923486","[]","上海市","上海市","松江区"
"BV10040004","闵行开发区(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","5号线","121.369712","31.000627","121.36510560697059","31.002607958302836","[]","上海市","上海市","闵行区"
"BV11471648","放鹤路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)23号线","121.466244","31.049273","121.46171296426097","31.05129131420415","[]","上海市","上海市","闵行区"
"BV11471646","吴泾北(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)23号线","121.462275","31.062725","121.45773100575035","31.06472568291243","[]","上海市","上海市","闵行区"
"BV11471649","紫龙路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","(在建)23号线","121.469362","31.033822","121.46484191108847","31.03585734166138","[]","上海市","上海市","闵行区"
"BV10820968","永德路(地铁站)","交通设施服务;地铁站;地铁站","150500","[]","15号线","121.443203","31.039147","121.43861267967063","31.041120754750107","[]","上海市","上海市","闵行区"
