Unnamed_ 0,name,pinyin,unit_2021,w_unit_202,unit_2021_,w_unit_2_1,p-sim,sig,labels,unit_202_1,unit_202_2,NUMPOINTS
"60",????,Fengcheng,"16573",19108.125000000000000,-23591.587719999999536,-21056.462719999999536,0.014000000000000,"1",LL,19108.125000000000000,-24638.773030000000290,10
"61",????,Xidu,"31284",24934.000000000000000,-8880.587718999999197,-15230.587719999999536,0.070000000000000,"0",Non-Significant,24934.000000000000000,-18812.898030000000290,3
"62",??????,Jinshan New area,"18793",12069.500000000000000,-21371.587719999999536,-28095.087719999999536,0.001000000000000,"1",LL,12069.500000000000000,-31677.398030000000290,3
"63",????,North Jingan,"97812",78066.125000000000000,57647.412279999996827,37901.537279999996827,0.001000000000000,"1",HH,78066.125000000000000,34319.226970000003348,0
"64",????,South Jingan,"64403",81190.375000000000000,24238.412280000000464,41025.787279999996827,0.001000000000000,"1",HH,81190.375000000000000,37443.476970000010624,3
"65",????,Jiuting,"11887",35746.625000000000000,-28277.587719999999536,-4417.962719000000106,0.364000000000000,"0",Non-Significant,35746.625000000000000,-8000.273025999999845,5
"66",???????,Kangjian,"80522",52349.500000000000000,40357.412279999996827,12184.912280000000464,0.111000000000000,"0",Non-Significant,52349.500000000000000,8602.601973999999245,2
"67",????,Liangcheng,"49902",62198.000000000000000,9737.412281000000803,22033.412280000000464,0.021000000000000,"1",HH,62198.000000000000000,18451.101969999999710,3
"68",????,Longhua,"79767",69066.000000000000000,39602.412279999996827,28901.412280000000464,0.002000000000000,"1",HH,69066.000000000000000,25319.101969999999710,0
"69",??????,Lujiabang,"92025",68810.250000000000000,51860.412279999996827,28645.662280000000464,0.002000000000000,"1",HH,68810.250000000000000,25063.351969999999710,0
"70",?????,Lujiazui,"74476",64674.000000000000000,34311.412279999996827,24509.412280000000464,0.011000000000000,"1",HH,64674.000000000000000,20927.101969999999710,1
"71",????,Luodian,"25789",33028.750000000000000,-14375.587719999999536,-7135.837719000000106,0.270000000000000,"0",Non-Significant,33028.750000000000000,-10718.148030000000290,6
"72",????,Maqiao,"38648",26415.375000000000000,-1516.587719000000106,-13749.212719999999536,0.090000000000000,"0",Non-Significant,26415.375000000000000,-17331.523030000000290,5
